window_len,windows,pool_size,pa_in_window,pa_per_game,zero_pa_share,distinct_players,war_per_162,sprinter_advantage,shared_windows,same_player_as_6g
3,23996,10.692532088681446,1.7806301050175009,0.593543368339167,0.38223037172862145,2280,-0.4727550208947065,1.2676006095597696,23546,0.6059203261700501
4,23846,10.526335653778412,2.8735217646565463,0.7183804411641366,0.2563952025496939,2094,-0.4706826379079873,1.2655282265730503,23546,0.7051303830799287
5,23696,10.36866981769075,4.047518568534772,0.8095037137069545,0.1851367319378798,1940,-0.4795976890643584,1.2744432777294215,23546,0.8160621761658031
6,23546,10.21604518814236,5.275418330077297,0.8792363883462162,0.14295421727681984,1803,-0.49835964824433293,1.293205236909396,23546,1
7,23396,10.068216789194734,6.559668319370832,0.9370954741958332,0.11553256967002906,1704,-0.4783229948372637,1.2731685835023268,23396,0.8385194050265002
8,23246,9.924417104017895,7.902649918265509,0.9878312397831887,0.0973930998881528,1621,-0.4496054509204204,1.2444510395854835,23246,0.7666695345435773
9,23096,9.78494111534465,9.297713889851057,1.033079321094562,0.08425701420159334,1549,-0.4301405192197091,1.2249861078847721,23096,0.7167907862833391
