window_len,war_per_162,se,gap_vs_6g,gap_se,gap_z,gap_p
3,-0.4727550208947065,0.044889051970261856,-0.02560462734962643,0.03579587746653345,-0.7152954239930255,0.4744265155491722
4,-0.4706826379079873,0.049996336320915886,-0.02767701033634562,0.02414587889120869,-1.1462415785752402,0.25169520836252407
5,-0.4795976890643584,0.05296446119673778,-0.01876195917997453,0.01796711966592046,-1.0442385607060711,0.29637503049568187
6,-0.49835964824433293,0.05531380377819188,0,0,NA,NA
7,-0.4783229948372637,0.056715778059499344,-0.020036653407069227,0.014437302955144489,-1.3878390908136693,0.16518604845354518
8,-0.4496054509204204,0.059078991440892514,-0.04875419732391251,0.021179319229582525,-2.301971880938192,0.02133675797362763
9,-0.4301405192197091,0.06030197133144472,-0.06821912902462385,0.025566862571426915,-2.6682636101335473,0.007624441049494569
